item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
6477,128 TIM s,Text,6477,11/25/2015,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5932,158.4 DWI s,Text,5932,20 Februari 2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6627,128 KMA t,Text,6627,13 Februari 2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6648,128 FIT s,Text,6648,4/7/2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6693,153.8 SAP i,Text,6693,23 Mei 20174,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5895,158.2 CUN p,Text,5895,17 Oktober 2012,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6849,150,Text,6849,17 juli 2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6558,128 CAR s,Text,6558,9/19/2016,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3857,155.5 KNI j,Text,3857,31 Mei 2006,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5342,158.4 BIR i,Text,5342,9/29/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5071,155.2 GRU p,Text,5071,4/6/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5072,155.2 GRU p,Text,5072,4/6/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6023,158.2,Text,6023,24 Mei 2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
2563,158.2 TUG s,Text,2563,9/25/2004,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6475,131 NUR r,Text,6475,11/25/2015,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6557,128 KEI a,Text,6557,9/19/2016,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5569,158.2,Text,5569,3 Agustus 2011,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
7765,158.1,Text,7765,25 Agustus 2023,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6022,150 JIH f,Text,6022,24 Mei 2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5804,128 TIM k2,Text,5804,4/17/2012,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4849,128 MOE t,Text,4849,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3910,155.5 SIL h,Text,3910,9 Juli 2006,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4551,158.2,Text,4551,2 maret 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4942,155.5 SAP p,Text,4942,3 Januari 2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3793,152.4 WIJ k,Text,3793,9/25/2004,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4866,155.5 MAS t,Text,4866,12 Agustus 2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4499,158.2 NAI p,Text,4499,8 Mei 2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6092,155 BRO m,Text,6092,9/30/2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
233,153.8 GET m,Text,233,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3842,155.5 MET s,Text,3842,18 mei 2006,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
1711,150 TIM t,Text,1711,24 Agustus 1993,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4569,173 SUB t,Text,4569,5 Maret 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
2507,152.4 BAS j,Text,2507,9/25/2004,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
