414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
4555,158.2 COV t,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,The 8th Habit
7117,150 ELF t,Text,,12-Sep-19,,,100-199,,Available,,,,,IDR,,,,Terapi Berpikir Positif
5334,155.2 MIS d,Text,,27-Sep-10,,,100-199,,Available,,,,,IDR,,,,Dasyatnya Sidik Jari 
4438,155.2 HAR m,Text,,6 Januari 2009,,,100-199,,Available,,,,,IDR,,,,Metode Jitu Meningkatkan Daya Ingat
4562,158.1 KHE k,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Kiat Menjadi Pemenang
5851,154.7 GUN t,Text,,14 Juli 2012,,,100-199,,Available,,,,,IDR,,,,The Secret Of Mindset
5069,153 ARM t,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,The Whole - Brain Solution
4686,158.1 GOT m,Text,,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kecerdasan Emosional Anak
4903,153.1 BUZ,Text,,4 Desember 2009,,,100-199,,Available,,,,,IDR,,,,Buku Pintar Mind Map
6640,128 WIJ i,Text,,7-Apr-17,,,100-199,,Available,,,,,IDR,,,,Inspirasi Tanpa Menggurui
5671,158.1 BUR m,Text,,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Manage Your Time!
4904,121 WCY d,Text,,3-Sep-08,,,100-199,,Available,,,,,IDR,,,,Disiplin Tanpa Teriakan Atau Pukulan
4528,158.4 SOE t,Text,,21 Mei 2008,,,100-199,,Available,,,,,IDR,,,,Team Building
4876,158.2 GRA r,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Reach For The Stars!
4697,152.4 BRA a,Text,,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Anger Management
4498,158.2,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,"Krisis Ada Dalam Dirimu, Inilah Cara Melawannya!"
6020,153 SUS p2,Text,,24 Mei2013,,,100-199,,Available,,,,,IDR,,,,Pemilihan Jiwa 2
5671,158.1,Text,,23 Juli 1993,,,100-199,,Available,,,,,IDR,,,,Manage Your Time!
1620,120 PAN m,Text,,14-Apr-93,,,100-199,,Available,,,,,IDR,,,,Meningkatkan Ketrampilan Otak Anak
7037,155.25 ZAL a,Text,,29-Apr-19,,,100-199,,Available,,,,,IDR,,,,Aku Disleksia
6705,155.25 KIN j,Text,,23 Mei 20174,,,100-199,,Available,,,,,IDR,,,,Jadi Penulis NonFiksi? Gampang Kok!!!
6995,155.25 KIN j,Text,,10-Nov-18,,,100-199,,Available,,,,,IDR,,,,Jadi Penulis NonFiksi? Gampang Kok!!!
2152,170 SUR a,Text,,23 Agustus 1995,,,100-199,,Available,,,,,IDR,,,,Ajaran-Ajaran Ki Ageng Suryomentaram III
6845,153 TIM k,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Kreativitas  Itu Dipraktekan
6519,155 SIA a,Text,,5 Juni 2010,,,100-199,,Available,,,,,IDR,,,,All About Teens
3667,152.4 ETT m,Text,,11 Mei 2005,,,100-199,,Available,,,,,IDR,,,,Mengelola Emosi
3288,153.8 WIC s,Text,,19-Sep-02,,,100-199,,Available,,,,,IDR,,,,Self-Care For Every Day
6864,153 UTO t,Text,,11 Agustus 2017,,,100-199,,Available,,,,,IDR,,,,The Lost Secret Of Success
5088,155.5 PEL t,Text,,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,The Compleat Courtship
6021,153 SUS p3,Text,,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,Pemulihan Jiwa 3
4882,152.4,Text,,11/11/2025,,,100-199,,Available,,,,,IDR,,,,Buka Dulu Topengmu
0952,140 LEA m,Text,,22-Nov-86,,,100-199,,Available,,,,,IDR,,,,Manusia Dihadapan Allah 3 Kosmos Manusia Dan Allah
4028,155.5 HIP b,Text,,9-Sep-06,,,100-199,,Available,,,,,IDR,,,,Bete? No Way!!
5086,155.2 SOE m,Text,,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,Mengenal Potensi Anak Melalui Tulisan Tangan
3595,155.4 LIG l,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,50 cara Efektif Menanamkan Tingkah laku Positif Pada Anak
6477,128 TIM s,Text,,25-Nov-15,,,100-199,,Available,,,,,IDR,,,,SerBu Susi
