title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Majalah Rumah Tangga Kesehatan Feb.2021,Serial,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,Jakarta,70.1,,,,TIM,
Majalah Rumah Tangga Kesehatan Maret2021,Serial,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,Jakarta,70.1,,,,TIM,
Buku Pintar Mind Map Untuk Anak ,Text,,,Gramedia,2008,,,028 BUZ b,Indonesia,Jakarta,28,,,,Tony Buzan,
Ensiklopedi Galaksi Dan Atmosfer,Reference,,,Diva Press,2009,,,031 JAW e,Indonesia,yogyakarta,31,,,,Muhammad Ismail al- Jawisy,
Ensiklopedi Matahari dan Bulan,Reference,,,Diva Press,2009,,,031 JAW e,Indonesia,yogyakarta,31,,,,Muhammad Ismail al- Jawisy,
Manajemen Da tata Kerja Perpustakaan sekolah,Text,,,Grasindo,2001,,,020.6 DAR m,Indonesia,Jakarta,20.6,,,,Darmono,
Pengolahan Grafik & Ilustrasi Corel Draw!6,Text,,,Andi,1996,,,005 SAE p,Indonesia,yogyakarta,5,,,,Adhe Saenudin,
Buku Pintar Ilmu pengetahuan,Text,,,Pink Books,2003,,,001CLA b,Indonesia,yogyakarta,001CLA,,,,C. Claiborne,
Bagaimana Membuat Proyek Ilmu Pengetahuanmu Menjadi Ilmiah,Text,,,Pakar Raya,2003,,,001 MOO b,Indonesia,Bandung,1,,,,Thomas Moorman,
Ensiklopedi Anak Serangga Dan Laba-Laba,Reference,,,Gramedia,2002,,,031 TIM e,Indonesia,Jakarta,31,,,,TIM,
Wonderful World 1,Text,,,Andi,2017,,,030 TIM w,Indonesia,yogyakarta,30,,,,TIM,
Ensiklopedi Bumi & Kehidupan,Reference,,,Diva Press,2009,,,031 JAW e,Indonesia,yogyakarta,31,,,,Muhammad Ismail al- Jawisy,
"Panduan Belajar Otodidak Microsoft Power Point 2007 :Mudah, Praktis, dan Lengkap",Text,,,Mediakita,2008,,,005 PUR p,Indonesia,Jakarta,5,,,,Catur Hadi Purnomo,
Panduan Lengkap Wordperfect For Windows Versi 5.2,Text,,,Elex Media Komputindo,1994,,,005 SUT p,Indonesia,Jakarta,5,,,,Winardi Sutantyo,
Petunjuk Praktis Pemakaian Word Star 7,Text,,,Dinastindo,1992,,,006.60 KAS p,Indonesia,Jakarta,6.6,,,,Dodon Kasata,
Langkah Mudah Meraup Dolar Lewat Internet,Text,,,Media Kita,2007,,,5,Indonesia,Jakarta,5,,,,Taufik Hidayat,
Microsoft Powerpoint 2007 Untuk menyusun Presentasi Profesional,Text,,,Andi,2007,,,005 TIM m,Indonesia,yogyakarta,5,,,,TIM,
