item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
4903,153.1 BUZ,Text,4903,12/4/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6640,128 WIJ i,Text,6640,4/7/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5671,158.1 BUR m,Text,5671,7/23/2011,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4904,121 WCY d,Text,4904,9/3/2008,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4528,158.4 SOE t,Text,4528,5/21/2008,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4876,158.2 GRA r,Text,4876,10/16/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4697,152.4 BRA a,Text,4697,6/30/1905,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4498,158.2,Text,4498,2/18/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6020,153 SUS p2,Text,6020,5/24/2013,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5671,158.1,Text,5671,7/23/1993,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
1620,120 PAN m,Text,1620,4/14/1993,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7037,155.25 ZAL a,Text,7037,4/29/2019,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6705,155.25 KIN j,Text,6705,5/23/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6995,155.25 KIN j,Text,6995,11/10/2018,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
2152,170 SUR a,Text,2152,8/23/1995,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6845,153 TIM k,Text,6845,7/17/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6519,155 SIA a,Text,6519,6/5/2010,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3667,152.4 ETT m,Text,3667,5/11/2005,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3288,153.8 WIC s,Text,3288,9/19/2002,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6864,153 UTO t,Text,6864,8/11/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5088,155.5 PEL t,Text,5088,4/15/2010,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6021,153 SUS p3,Text,6021,5/24/2013,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4882,152.4,Text,4882,11/11/2025,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
952,140 LEA m,Text,952,11/22/1986,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4028,155.5 HIP b,Text,4028,9/9/2006,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5086,155.2 SOE m,Text,5086,4/15/2010,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3595,155.4 LIG l,Text,3595,10/16/2004,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6477,128 TIM s,Text,6477,11/25/2015,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5932,158.4 DWI s,Text,5932,2/20/2013,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6627,128 KMA t,Text,6627,2/13/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6648,128 FIT s,Text,6648,4/7/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
